name,address
"James Joyce Pub",43566 Yoder Points
"Satisfaction",150 Cline Station
"Down Under Pub",9754 Gates Park
"The Edge",429 Peggy Junction
"Talk of the Town",485 Justin Pass
"Altes Sudhaus",2297 Scott Key Apt. 160
"Goldener Anker",2226 Scott Mall
"Trattoria la Grappa",53135 Waller Road
"Neu Kong Fondue Restaurant",15894 Peters Bridge
"Pizzeria Carlo",6741 Alfred Estates Apt. 085
"Dynastie Chinese Fastfood",009 Carney Bridge Apt. 630
"Casanostra",987 Rodgers Gardens
"Tor zum Rennsteig",3987 James Glen Apt. 145
"Leons italienisches Restaurant",771 Miranda Ports Apt. 858
"Wolfgangs",9680 Haynes Keys
"Om Shanti",7049 Perry Divide
"Il Brigantino da Francesco",8210 Stuart Tunnel Apt. 715
"Landgasthof am Brunnen Inh. Harald Knobel",39593 Reynolds Skyway Apt. 719
"Algarve",50688 Mark Squares Apt. 109
"Es Bembelsche, Strausswirtschaft Dey",2780 Morgan Drive
"Land & Leute",8593 Tiffany Courts Suite 513
"Donerhaus Dest",671 Patterson Flat Suite 108
"Korea",9048 Stephanie Lake Apt. 309
"Alte Schule",89835 James Mountains Apt. 188
"Pizzeria Bistro Leonardo",27291 Camacho Highway Suite 101
"Schlossterasssen",4200 Ashley Square Apt. 033
"Stadt Berlin",534 Melissa Junctions Apt. 421
"Tijol",74074 Gloria Square
"Bodega",601 Megan Fort Suite 963
"Zur Ziegelhuette",463 Lyons Lodge
"Schnitzelhaus Party- und Heimservice",457 Lisa Park Apt. 923
"Man Wah",487 Osborne Vista Suite 604
"Pizza Hut",07997 Tammy Mews
"Kaffeemanufaktur Hirschhorn GmbH & Co KG",3593 Washington Flats
"Goldener Hahn",5165 Williams Fords
"Ginnheimer Wirtshaus",47470 Coleman Skyway Apt. 782
"Little Tokyo",453 Reilly Valley Suite 934
"Gasthof zum Ulmenstein, Harald Trapp",939 Sean Lock Apt. 964
"Muckenwirt",5473 Henderson Heights
"Mainterrasse Hassia",806 Steve Common Apt. 471
"Restaurant Sonono",2677 Norman Prairie Suite 241
"Drays Brauhaus Lorsch",96561 Lisa Manors Apt. 991
"Trattoria Promis",895 Newman Squares Apt. 089
"Yam Yam",17201 Roy Parkway
"Pizzeria Avanti",28702 Tammy Valley Apt. 581
"Hooters American Sports Bar",127 Cohen Trail Suite 123
"Eiscafe Bistro Milano",068 Holmes Trace
"Turmschmiede",0415 Marisa Dale
"Zum Lowen",648 Ruiz Valleys
"Buen Gusto",95965 Sloan Causeway
"Leib & Seele",329 Stephen Drive
"Langenschwalbacher Schlemmer & Kultur Station",207 Lewis Greens
"Late Night Pizzeria",36058 Jones Ways Suite 149
"Eulenpick",780 Gilbert Wall Suite 778
"Hellas Griechisches Restaurant",891 Gonzalez Brook Suite 057
"Saftbar",696 Pope Summit Suite 000
"Restaurant Sterkel",27288 Bolton Lights Apt. 515
"Zum Bembelsche",096 Ruiz Springs
"Ratsschanke Wetzlar",5535 Jones Skyway
"Cafe Hilde",593 Dawn Lake
"Michel's Restaurant",550 Chase Hollow Suite 543
"Ristorante Il Gan Localino",9324 Walter Manors
"Akropolis",874 Lisa Overpass Apt. 194
"Vanilla",93041 Justin Hollow
"Dschingis Khan Au Garden",0775 Frank Mountains Suite 612
"El-Rayyan",120 Norris Stream Suite 383
"XO",2754 Stacey Ridges Apt. 284
"Gasthaus Sonne",6373 Munoz Corners
"Restaurant Feldbergblick",754 Heather Skyway Apt. 568
"Pizzeria Milano",157 Dennis View Apt. 638
"Astheimer Schlosschen",592 Angela Circle
"Daga",591 Pamela Walk
"Faselstall",26217 Victor Views
"Eisenberg-Hutte Korbach Goldhausen",4236 Richardson Pines
"Gaststatte Metzger",5747 Amanda Port
"Weiberwirtschaft",378 Keith Creek Suite 867
"Gutsschanke Schloss Johannisberg",11990 Schwartz Greens Suite 100
"Gosch Fisch-Bistro",49358 Pamela Mills
"Pizzeria Amalfi",57349 Natalie Junction
"Restaurant Hotel Bessunger Forst",42268 Kayla Estates Suite 637
"IN+ART INos+ARTos",5292 Matthew Underpass Apt. 292
"Biancalani Cucina",255 David Light
"Da Gigi",5285 Garcia Passage
"Restaurant-Konoba "Zum Ritter"",880 Richard Vista
"Tong-Tong",22168 Duffy Islands Apt. 447
"Coffee Fellows",65439 Whitney Well
"Burger King Oberhausen",9028 Jones Passage
"Ristorante Roma",04417 Angela Orchard
"Pronto Pizza",18680 Mathis Highway Apt. 763
"Pizzeria Triangolo",6828 Glenn Center Apt. 282
"Bistro 1904 am Hotel Kurfurst Wilhelm I.",21289 Sarah Grove
